id,order_id,product_id,variant_id,name,title,vendor,price,quantity,sku,total_discount,_fivetran_synced
1,1,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
2,1,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
3,1,17,28,Dark Brown,Dark Brown,Belle & Glow,14.99,1,BG-BROW-DARK,0,2025-07-19 10:00:00
4,2,3,8,Deep Plum,Deep Plum,Belle & Glow,18.99,1,BG-LIP-PLUM,0,2025-07-19 10:00:00
5,3,5,11,Brown,Brown,Belle & Glow,15.99,2,BG-MASC-BROWN,0,2025-07-19 10:00:00
6,4,7,13,Warm Tones,Warm Tones,Belle & Glow,34.99,1,BG-EYES-WARM,0,2025-07-19 10:00:00
7,4,16,26,30ml,30ml,Belle & Glow,28.99,1,BG-NIAC-30ML,0,2025-07-19 10:00:00
8,5,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
9,5,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,8.28,2025-07-19 10:00:00
10,6,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
11,7,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
12,7,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,2,BG-GLOSS-CLEAR,9.6,2025-07-19 10:00:00
13,8,22,34,75ml,75ml,Belle & Glow,23.99,1,BG-MASK-75ML,0,2025-07-19 10:00:00
14,8,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,2,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
15,9,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
16,9,21,32,Clear Shine,Clear Shine,Belle & Glow,13.99,1,BG-GLOSS-CLEAR,0,2025-07-19 10:00:00
17,9,18,29,400ml,400ml,Belle & Glow,18.99,1,BG-MIC-400ML,12.18,2025-07-19 10:00:00
18,10,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
19,10,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
20,10,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
21,10,22,34,75ml,75ml,Belle & Glow,23.99,1,BG-MASK-75ML,3.69,2025-07-19 10:00:00
22,11,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
23,11,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
24,11,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
25,11,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,1.79,2025-07-19 10:00:00
26,12,26,38,Single Tool,Single Tool,Belle & Glow,16.99,1,BG-JADE-SINGLE,0.38,2025-07-19 10:00:00
27,13,7,14,Cool Tones,Cool Tones,Belle & Glow,34.99,1,BG-EYES-COOL,17.97,2025-07-19 10:00:00
28,14,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,0,2025-07-19 10:00:00
29,14,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,0,2025-07-19 10:00:00
30,14,19,30,100ml,100ml,Belle & Glow,24.99,1,BG-SET-100ML,3.97,2025-07-19 10:00:00
31,15,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
32,15,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
33,15,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,1.34,2025-07-19 10:00:00
34,16,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
35,16,1,1,Light,Light,Belle & Glow,24.99,1,BG-FOUND-LIGHT,0,2025-07-19 10:00:00
36,16,13,21,Black,Black,Belle & Glow,12.99,2,BG-LINER-BLACK,3.23,2025-07-19 10:00:00
37,17,8,15,100ml,100ml,Belle & Glow,19.99,1,BG-SCRUB-100ML,0,2025-07-19 10:00:00
38,17,1,3,Dark,Dark,Belle & Glow,24.99,1,BG-FOUND-DARK,13.57,2025-07-19 10:00:00
39,18,3,6,Red Berry,Red Berry,Belle & Glow,18.99,1,BG-LIP-REDBERRY,0,2025-07-19 10:00:00
40,18,16,26,30ml,30ml,Belle & Glow,28.99,1,BG-NIAC-30ML,2.41,2025-07-19 10:00:00
41,19,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,0,2025-07-19 10:00:00
42,19,21,33,Pink Shimmer,Pink Shimmer,Belle & Glow,13.99,1,BG-GLOSS-PINK,5.23,2025-07-19 10:00:00
43,20,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
44,20,5,10,Black,Black,Belle & Glow,15.99,1,BG-MASC-BLACK,10.94,2025-07-19 10:00:00
45,21,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
46,21,11,18,Coral Rose,Coral Rose,Belle & Glow,16.99,1,BG-BLUSH-CORAL,0,2025-07-19 10:00:00
47,21,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
48,21,22,34,75ml,75ml,Belle & Glow,23.99,1,BG-MASK-75ML,10.05,2025-07-19 10:00:00
49,22,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
50,23,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
51,23,13,21,Black,Black,Belle & Glow,12.99,1,BG-LINER-BLACK,0,2025-07-19 10:00:00
52,24,12,20,200ml,200ml,Belle & Glow,26.99,1,BG-TONER-200ML,2.35,2025-07-19 10:00:00
